abandon	abolish
["have" "colour"]	["be" "colour"]
["have" "color"]	["be" "color"]
["colour do" "have"]	colour be
["color do" "have"]	color be
colour	[""]
color	[""]
colour	coloured
color	colored
-coloured	[""]
-colored	[""]
come	go
in common	in general
in common between us	in common
in common between you	in common
in common between them	in common
["compare" "to"]	["compare" "with"]
["complain" "against"]	["complain" "about"]
complaint for	complaint about
completely	very
composed by	composed of
comprehension	understanding
comprehensive	understanding
comprise of	comprise
["concentrate" "in"]	["concentrate" "on"]
["concerned" "in"]	["concerned" "with"]
concerning	with regard to	regarding	as regards
["concerning" ""]	["as far as" "is concerned"]	["as far as" "was concerned"]
as a conclusion	in conclusion
to come to the conclusion	to conclude
["in" "good condition"]	["keeping" "fit and well"]
confidence for	confidence in
["confident" "with"]	["confident" "about"]
confident of myself	self-confident
confident of ourselves	self-confident
confident of yourself	self-confident
confident of yourselves	self-confident
confident of itself	self-confident
confident of herself	self-confident
confident of himself	self-confident
confident of themselves	self-confident
confront with	confront
["congratulate" "for"]	["congratulate" "on"]
congratulations for	congratulations on
["conscious" "about"]	["conscious" "of"]
["consist" "on"]	["consist" "of"]
contact with	contact
continual	continuous
continually	continuously
continuous	continual
continuously	continually
on the contrary	on the other hand
["contribute" "for"]	["contribute" "to"]
contribute	contribute to
control	inspect
control over	control
lose control	go out of control
become out of control	go out of control
not under control	out of control
["lose my" "control"]	["lose" "control"]
["my control" "lose"]	["control" "lose"]
["lose our" "control"]	["lose" "control"]
["our control" "lose"]	["control" "lose"]
["lose your" "control"]	["lose" "control"]
["your control" "lose"]	["control" "lose"]
["lose its" "control"]	["lose" "control"]
["its control" "lose"]	["control" "lose"]
["lose her" "control"]	["lose" "control"]
["her control" "lose"]	["control" "lose"]
["lose his" "control"]	["lose" "control"]
["his control" "lose"]	["control" "lose"]
["lose their" "control"]	["lose" "control"]
["their control" "lose"]	["control" "lose"]
convince	persuade
cooker	cook	chef
["on the" "corner"]	["in the" "corner"]
cost	price
free of cost	free of charge
cost of life	cost of living
could	was able to	managed to
country side	rural areas
course of	course in	course on
["crash" "with"]	["crash" "into"]
crash	crash into
["do" "crime"]	["commit" "crime"]
["crime" "do"]	["crime" "commit"]
["make" "crime"]	["commit" "crime"]
["crime" "make"]	["crime" "commit"]
["perform" "crime"]	["commit" "crime"]
["crime" "perform"]	["crime" "commit"]
criminal rate	crime rate
criminal life	life of crime
critic	review
["critical" "on"]	["critical" "of"]
["do" "criticism"]	["make" "criticism"]
["criticism" "do"]	["criticism" "make"]
["criticism" "on"]	["criticism" "of"]
cry	scream	shout	weep
cry or laugh	laugh or cry
cure	heal	treat	recover
cure to	cure for
cure of	cure for
curiosity on	curiosity about
["from" "curiosity"]	["out of" "curiosity"]
current	modern
custom	habit
cut	cut up	cut out	cut down
cut my hair	have my hair cut	get my hair cut
cut our hair	have our hair cut	get our hair cut
cut your hair	have your hair cut	get your hair cut
cut her hair	have her hair cut	get her hair cut
cut his hair	have his hair cut	get his hair cut
cut their hair	have their hair cut	get their hair cut
damaged	hurt
damaged	injured	wounded
["make" "damage"]	["do" "damage"]	["cause" "damage"]
["damage" "make"]	["damage" "do"]	["damage" "cause"]
["produce" "damage"]	["do" "damage"]	["cause" "damage"]
["damage" "produce"]	["damage" "do"]	["damage" "cause"]
["cause" "damage of"]	["cause" "damage to"]
["damage" "cause of"]	["damage" "cause to"]
["do" "damage in"]	["do" "damage to"]
["damage" "do in"]	["damage" "do to"]
damp	humid
dance	dance to
["dance" "with"]	["dance" "to"]
dare to say	dare say
["dare" "to"]	dare
dare	be ready	be prepared	["dare" "to"]
daren't to	daren't
["become" "dark"]	["get" "dark"]
["become" "dark"]	["go" "dark"]
["on the" "date of"]	["on the" "day of"]
["at" "day"]	["on" "day"]
["at" "date"]	["on" "date"]
["in" "day"]	["on" "day"]
["in" "date"]	["on" "date"]
up to date	to date	up to now	until now
["at" "day"]	["on" "day"]
["in" "day"]	["on" "day"]
days	-day
day after day	day by day
in these days	these days
during these days	these days
in our days	nowadays	these days	today
dead people	dead
["great" "deal of"]	["large" "number of"]
great deal of	great many	many
deal	deal with
["deal" "in"]	["deal" "with"]
["deal" "with"]	["deal" "in"]
deal with	use
["death" "of"]	["death" "from"]
Master	Master's
["degree" "of"]	["degree" "in"]
["obtain" "degree"]	["do" "degree"]
["degree" "obtain"]	["degree" "do"]
very delighted	absolutely delighted
demand	require
["demand" "of"]	["demand" "for"]
["make" "demonstration"]	["hold" "demonstration"]	["stage" "demonstration"]
["demonstration" "make"] 	["demonstration" "hold"]
["demonstration" "made"] 	["demonstration" "staged"]
deny	refuse	deny it
depart	depart from
describe	describe to
["description" "about"]	["description" "of"]
["description" "on"]	["description" "of"]
desire	want	would like	hope	wish	intend	ambition
despite	although
despite of	despite	in spite of
destroy	spoil	ruin
completely destroyed	a write-off
die with	die of	die from
["make" "difference"]	["make" "distinction"]
["different" "of"]	["different" "from"]	["different" "to"]
["different" "as"]	["different" "from"]	["different" "to"]
disagree	refuse
["disagree" "with"]	["object" "to"]
["disagree" "to"]	["disagree" "with"]
disagree	don't agree
["do" "disagree"]	["don't" "agree"]
discriminate	discriminate against
["discrimination" "on"]	["discrimination" "against"]
["discuss" "with"]	["talk" "to"]
discuss	talk
disguise	disguise myself	disguise ourselves	disguise yourself	disguise yourselves	disguise itself	disguise herself	disguise himself	disguise themselves
dish	course	meal
dispose	dispose of
long distance	long way
["long distance between" "and"]	["long way from" "to"]
in a distance of	["" "away"]
district	region	area
region	area
["divide" "in"]	["divide" "into"]
divorce	get a divorce
divorce to	divorce
divorce with	divorce
doubt	be unsure	be uncertain	not be sure	not be certain
["do" "doubt"]	["be" "unsure"]	["be" "uncertain"]	["be" "not sure"]	["be" "not certain"]
["be" "in doubt"]	["be" "unsure"]	["be" "uncertain"]	["be" "not sure"]	["be" "not certain"]
doubt about	have doubts about	have my doubts about	have our doubts about	have your doubts about	have its doubts about	have her doubts about	have his doubts about	have their doubts about
there is no doubt that	[""]
["It is" "no doubt"]	["there is" "no doubt"]
without doubt	no doubt
no doubt	without doubt
without doubt	of course
to downstairs	downstairs
in downstairs	downstairs
at downstairs	downstairs
to upstairs	upstairs
in upstairs	upstairs
at upstairs	upstairs
drama	play
dress	put on
dress myself	get dressed
dress ourselves	get dressed
dress yourself	get dressed
dress yourselves	get dressed
dress itself	get dressed
dress herself	get dressed
dress himself	get dressed
dress themselves	get dressed
dress	wear
dress myself as	dress up as
dress ourselves as	dress up as
dress yourself as	dress up as
dress yourselves as	dress up as
dress itself as	dress up as
dress herself as	dress up as
dress himself as	dress up as
dress themselves as	dress up as
["dressed" "with"]	["dressed" "in"]	["" "in"]
drown	sink
nearly drown	drowning
drunken	drunk
dull	bored	boring
during	for
during all	all
during	while
earn	win
earnest	serious
earth	world	planet
["in" "earth"]	["on" "earth"]
eat	take
economic	economy
economic	inexpensive
economical	economic
economics	economy
edit	publish
effect	affect
["effect" "to"]	["effect" "on"]
effective	efficient
["effective" "to"]	["effective" "in"]
effectively	indeed
efficient	effective
effort	attempt
["do" "effort"]	["make" "effort"]
["effort" "do"]	["effort" "make"]
elder	older
elderly	elder
elect	choose
electric	electrical
electronic	electrical
else than	other than
emergency event	emergency	emergency situation
emergency case	emergency
emphasize on	emphasize
["at" "end"]	["in" "end"]
in the end	finally
end with	end up
end	end up
end up	end
endure	suffer from	bear
engine	machine
English	Englishman	Englishwoman
ensure	assure
enter into	enter
enter	get on a bus	board	get into
equipment	piece of equipment
especially	specially
establish	open
estimated	esteemed
estimate	assess
eventually	at last	at long last	in due course
ever	always
["ever" "before"]	ever
on every	every
["make" "exam"]	["take" "exam"]
["exam" "make"]	["exam" "take"]
["make" "examination"]	["take" "examination"]	["sit" "examination"]	["sit for" "examination"]	["have" "examination"]	["do" "examination"]
["examination" "make"]	["examination" "take"]	["examination" "sit"]	["examination" "have"]	["examination" "do"]
["pass in" "exam"]	["pass" "exam"]
["exam" "pass in"]	["exam" "pass"]
["pass in" "examination"]	["pass" "examination"]
["examination" "pass in"]	["examination" "pass"]
["fail in" "examination"]	["fail" "examination"]
["examination" "fail in"]	["examination" "fail"]
["example" "for"]	["example" "of"]
["give" "example"]	["set" "example"]
["example" "give"]	["example" "set"]
except	besides
not an exception	no exception
["exchange" "with"]	["exchange" "for"]
excuse me	I'm sorry	sorry
excuse myself	apologize
excuse ourselves	apologize
excuse yourself	apologize
excuse yourselves	apologize
excuse itself	apologize
excuse herself	apologize
excuse himself	apologize
excuse	forgive
exercise	some exercise
["make" "exercise"]	["do" "exercise"]
["exercise" "make"]	["exercise" "do"]
expand	increase	spread
expect	wait for	hope	look forward to
expensive	high
["make" "experience"]	["have" "experience"]
["experience" "make"]	["experience" "have"]
experience	new experience
experience	experience of
["experience" "in"]	["experience" "of"]
["make" "experiment"]	["perform" "experiment"]	["conduct" "experiment"]	["carry out" "experiment"]	["do" "experiment"]
["experiment" "make"]	["experiment" "perform"]	["experiment" "conduct"]	["experiment" "carry out"]	["experiment" "do"]
["experiment" "with"]	["experiment" "on"]
explain	explain to
explode	blow up
expose	exhibit
extinguished	extinct
extreme	dramatic	major
extremely	absolutely
face to	face
face with	face
["in" "face"]	["on" "face"]
["two faces of the" "same coin"]	["two sides of the" "same coin"]
in fact	[""]
in fact,	the fact is	the fact is that
as a matter of fact	the fact is	the fact is that
agree to the fact that	accept the fact that	appreciate the fact that
agree with the fact that	accept the fact that	appreciate the fact that
factory	mill	works	plant
factory of	["" "factory"]
["fall" "of"]	["fall" "in"]
fall down	fall	fall off
very fantastic	absolutely fantastic
fantasy	imagination
far	a long way	far away
far away	[""]	away
["live in" "farm"]	["live on" "farm"]
["work in" "farm"]	["work on" "farm"]
["farm" "lived in"]	["farm" "worked on"]
["stay in" "farm"]	["stay on" "farm"]
very fascinated	fascinated	absolutely fascinated
fat	overweight	plump	chubby	stout	large	big
a little bit too fat	slightly overweight
get very fat	put on a lot of weight
fault	mistake
["I" "have the fault"]	["it is" "my fault"]
["we" "have the fault"]	["it is" "our fault"]
["you" "have the fault"]	["it is" "your fault"]
it has the fault	it is its fault
["she" "has the fault"]	["it is" "her fault"]
["he" "has the fault"]	["it is" "his fault"]
["they" "have the fault"]	["it is" "their fault"]
["I do" "have the fault"]	["it is" "my fault"]
["we do" "have the fault"]	["it is" "our fault"]
["you do" "have the fault"]	["it is" "your fault"]
["it does" "have the fault"]	["it is" "its fault"]
["she does" "have the fault"]	["it is" "her fault"]
["he does" "have the fault"]	["it is" "his fault"]
["they do" "have the fault"]	["it is" "their fault"]
["do I" "have the fault"]	["is it" "my fault"]
["do we" "have the fault"]	["is it" "our fault"]
["do you" "have the fault"]	["is it" "your fault"]
does it have the fault	is it its fault
["does she" "have the fault"]	["is it" "her fault"]
["does he" "have the fault"]	["is it" "his fault"]
["do they" "have the fault"]	["is it" "their fault"]
have the fault	be to blame
["do" "have the fault"]	["be" "to blame"]
in favour with	in favour of
in favor with	in favor of
in favour to	in favour of
in favor to	in favor of
favourable to	in favour of
favorable to	in favor of
most favourite	favourite
most favorite	favorite
have fear	be afraid	be frightened	be scared	feel afraid	feel frightened	feel scared
feel fear	be afraid	be frightened	be scared	feel afraid	feel frightened	feel scared
fear of	be afraid
fear to	fear that I may	fear that we may	fear that you may	fear that it may	fear that she may	fear that he may	fear that they may
["fear" "about"]	["fear" "for"]
fee	charge	rate	rental
lose feeling	go numb
by feet	on foot
fellow	friend	workmate
female	woman	women's
fetch	take
["fetch" "at"]	["fetch" "from"]	["collect" "from"]
fetch	["pick" "up"]
fever	temperature
fight against	fight
fill	["fill" "in"]	["fill" "out"]
["fill" "in"]	["fill" "out"]
["filled" "with"]	["full" "of"]
finally	eventually
find	find out
find out	come across
very fine	fine
extremely fine	fine
go on fire	catch fire
become on fire	catch fire
go off	go out
at first	first of all	firstly
firstly	at first
fit	suit	match
["keep in" "fit"]	["keep" "fit"]
floor	ground
["in" "floor"]	["on" "floor"]
["at" "floor"]	["on" "floor"]
follow	come with
["go" "by foot"]	["go" "on foot"]
["travel" "by foot"]	["travel" "on foot"]
for to	to
for	over
forbid	ban
force	power
forget	leave
a good fortune	fortunate	lucky
Friendly,	Yours,
from	since	by	made of
in front of	opposite
fully	["" "in full"]
fun	pleasure
very fun	a lot of fun	much fun
["make" "fun"]	["have" "fun"]
["fun" "make"]	["fun" "have"]
["get" "fun"]	["have" "fun"]
["fun" "get"]	["fun" "have"]
funny	fun
["have" "funny time"]	["have" "good time"]
gain	earn	get	make
gentle	kind
gently	politely
["if you would" "gently"]	["if you would" "kindly"]
["get" "off"]	["get" "out of"]
give to	give
["would be" "glad if"]	["would be" "grateful if"]
glad	happy
glasses of	[""]	panes of
go	come	get
["go out" "to"]	["go out" "for"]
goal	destination
golden	gold
gonna	going to
wanna	want to
good	possession
gossips	a lot of gossip
got	have	have got
grade	rank
["graduate" "at"]	["graduate" "from"]
grave	serious	tomb
greatly	enormously
ground	land	territory	soil	floor
["on" "ground"]	["to" "ground"]
grow	grow up	["bring" "up"]
grow up	grow
grown-up people	grown-ups
["in" "guarantee"]	["under" "guarantee"]
["charge" "guilty"]	["find" "guilty"]
["guilty" "charge"]	["guilty" "find"]
["judge" "guilty"]	["find" "guilty"]
["guilty" "judge"]	["guilty" "find"]
["feel" "guilty of"]	["feel" "guilty about"]
habit	custom
["take" "habit"]	["acquire" "habit"]	["adopt" "habit"]	["develop" "habit"]	["get into" "habit"]
["habit" "take"]	["habit" "acquire"]	["habit" "adopt"]	["habit" "develop"]	["habit" "get into"]
["get" "to a halt"]	["come" "to a halt"]
["get to" "halt"]	["come to" "halt"]
in the other hand	on the other hand
at the other hand	on the other hand
in the hand	in my hand	in our hands	in your hand	in its hand	in her hand	in his hand	in their hands
handle with	handle
["happen" "with"]	["happen" "to"]
hardly no	hardly any
n't hardly	hardly
not hardly	hardly
have got	've got
["have" "not got"]	["haven't" "got"]
haven't to	don't have to
have not to	don't have to
hear	listen to
heavy accident	serious accident
["accident" "heavy"]	["accident" "serious"]
heavy crime	serious crime
["crime" "heavy"]	["crime" "serious"]
heavy illness	serious illness
["illness" "heavy"]	["illness" "serious"]
in here	here
in there	there
to here	here
to there	there
here is	["it's" "here"]
hinder	["prevent" "from"]	deter
historic	historical
historical	historic
hit	knock over
hit and kick	punch and kick
hold	take hold of	["pick" "up"]
["hole" "on"]	["hole" "in"]
["in" "holidays"]	["on" "holiday"]
["in my" "holidays"]	["on" "holiday"]
["in your" "holidays"]	["on" "holiday"]
["in its" "holidays"]	["on" "holiday"]
["in her" "holidays"]	["on" "holiday"]
["in his" "holidays"]	["on" "holiday"]
["in their" "holidays"]	["on" "holiday"]
["make" "holiday"]	["have" "holiday"]
["holiday" "make"]	["holiday" "have"]
arrive at home	arrive home
["home" "arrive at"]	["home" "arrive"]
["go" "to home"]	["go" "home"]
["home" "go to"]	["home" "go"]
["return" "to home"]	["return" "home"]
["home" "return to"]	["home" "return"]
in my home	at home
in our home	at home
in your home	at home
in its home	at home
in her home	at home
in his home	at home
in their home	at home
["leave" "home"]	["leave" "house"]
["home" "leave"]	["house" "leave"]
["stay in" "home"]	["stay at" "home"]
["home" "stay in"]	["home" "stay at"]
go outside the home	go out
work outside my home	go out to work
work outside our home	go out to work
work outside your home	go out to work
work outside her home	go out to work
work outside his home	go out to work
work outside their home	go out to work
["live" "out of home"]	["live" "away from home"]
["move" "out of home"]	["move" "away from home"]
homework	housework
["make" "homework"]	["do" "homework"]
["homework" "make"]	["homework" "do"]
honestly	to be honest	to tell you the truth
deeply hope	sincerely hope
I don't hope so	I hope not
hopeless	disheartened
["in the" "horizon"]	["on the" "horizon"]
["at" "hospital"]	["in" "hospital"]
hours	-hour
household	housework
household work	housework
housekeeper	housewife
["how" "like"]	["what" "like"]
how is	["what is" "like"]
how are	["what are" "like"]
["how" "think"]	["what" "think"]
how	what
how do you do	how are you
how much	how
however	but
very huge	huge	absolutely huge
human's	human
humid	damp
humour	mood
humor	mood
ill	sick
badly ill	seriously ill
imaginary	imaginative
imitate	copy
immigrate	emigrate
["cause" "impact"]	["have" "impact"]
["impact" "cause"]	["impact" "have"]
["important" "for"]	["important" "to"]
impression	image
["impression" "about"] 	["impression" "of"]
impulse	inspiration
in	on	[""]	at
at	of
include	contain	consist of	enclose
increase	improve	raise	rise
indeed	certainly	as it happens
["independent" "from"]	["independent" "on"]
industrious	industrial
industry	company	factory	plant
infancy	childhood
infant	child
["inferior" "than"]	["inferior" "to"]
influence	effect
["have" "influence to"]	["have" "influence on"]
["have" "influence in"]	["have" "influence on"]
["have" "influence for"]	["have" "influence on"]
["have an influence" "to"]	["have an influence" "on"]
["have an influence" "in"]	["have an influence" "on"]
["have an influence" "for"]	["have an influence" "on"]
influence on	influence
["information" "of"]	["information" "about"]	["information" "on"]
["information" "for"]	["information" "about"]	["information" "on"]
inhabit	occupy
inhabitant	local inhabitant
inhabitants	population
injure	damage	wound
injure in	injure my	injure our	injure your	injure its	injure her	injure his	injure their
inquiry	enquiry
inside of	inside
insist	insist that I	insist that I should	insist that we	insist that we should	insist that you	insist that you should	insist that it	insist that it should	insist that she	insist that she should	insist that he	insist that he should	insist that they	insist that they should
instead of it	instead
["instructions" "how to"]	["instructions" "on how to"]
tend	intend
intense	intensive
["interested" "on"]	["interested" "in"]
["interested" "by"]	["interested" "in"]
["interested" "about"]	["interested" "in"]
inferior	internal
interrupt	disturb
interruption	break
intrude my privacy	intrude
intrude our privacy	intrude
intrude your privacy	intrude
intrude her privacy	intrude
intrude his privacy	intrude
intrude their privacy	intrude
["intrude" "privacy"]	["intrude on" "privacy"]
["privacy" "intruded"]	["privacy" "intruded on"]
intrude into	intrude upon
invent	discover	think of	think up	coin
invention	advance
["invest" "on"]	["invest" "in"]
["invest" "to"]	["invest" "in"]
investigate into	investigate
["invitation" "for"]	["invitation" "to"]
["invite" "for"]	["invite" "to"]
["invite" "in"]	["invite" "to"]
island	island of
["in" "island"]	["on" "island"]
["jealous" "about"]	["jealous" "of"]
jewellery	jeweller's
jewellery shop	jeweller's
["make" "job"]	["do" "job"]
["job" "make"]	["job" "do"]
half-time	part-time
["what" "is your job"]	["what do" "you do"]
what is your job	what do you do for a living
join in	join
join with	join
["say" "joke"]	["tell" "joke"]
["joke" "say"]	["joke" "tell"]
journey	trip	our
["do" "journey"]	["make" "journey"]
["journey" "do"]	["journey" "make"]
judge	try
["judge" "with"]	["judge" "by"]
jump up	jump
junk	litter
the justice of	["" "'s legal system"]
["keep" "on"]	["keep" "up"]
keep up	keep	keep on
["key" "of"]	["key" "to"]
kid	child
be so kind to	be so kind as to
["kind" "with"]	["kind" "to"]
would kindly	could possibly
knock	hit	knock on
know	find out	get to know
["know" "very well"]	["know" "very deeply"]
["have" "knowledge"]	know
["have" "good knowledge of"]	["know" "a lot about"]
learn a lot of knowledge	learn a lot
["get" "knowledge of"]	["learn" "about"]
["get knowledge" "of"]	["learn" "about"]
get more knowledge	improve my knowledge	improve our knowledge	improve your knowledge	improve its knowledge	improve her knowledge	improve his knowledge	improve their knowledge
["knowledge" "in"]	["knowledge" "of"]
lack in	lack
lack of	lack
lady	woman
landscape	scenery
lane	path
language	[""]
large	wide
on last	last
in the last	last
at last	finally	in the end
last	latest
at last but not least	last but not least
lastly	in the end	eventually
late night	late at night
late in the night	late at night
recently	lately
last	latest
lying	laying
["lie" "down"]	["lay" "down"]
lead	take
learn	learn about
leave from	leave
["leave" "to"]	["leave" "for"]
lend	borrow	hire	rent
length of	[""]
lengthen	prolong
lessen	reduce
study my lesson	study
["study my" "lesson"]	["do my" "homework"]	["do" "exercise"]
["my lesson" "study"]	["my homework" "do"]	["exercise" "do"]
study our lesson	study
["study our" "lesson"]	["do our" "homework"]	["do" "exercise"]
["our lesson" "study"]	["our homework" "do"]	["exercise" "do"]
study your lesson	study
["study your" "lesson"]	["do your" "homework"]	["do" "exercise"]
["your lesson" "study"]	["your homework" "do"]	["exercise" "do"]
study its lesson	study	do its lesson
["study its" "lesson"]	["do" "exercise"]
["its lesson" "study"]	["exercise" "do"]
study her lesson	study
["study her" "lesson"]	["do her" "homework"]	["do" "exercise"]
["her lesson" "study"]	["her homework" "do"]	["exercise" "do"]
study his lesson	study
["study his" "lesson"]	["do his" "homework"]	["do" "exercise"]
["his lesson" "study"]	["his homework" "do"]	["exercise" "do"]
study their lesson	study
["study their" "lesson"]	["do their" "homework"]	["do" "exercise"]
["their lesson" "study"]	["their homework" "do"]	["exercise" "do"]
["do" "lesson"]	["have" "lesson"]
["lesson" "do"]	["lesson" "have"]
["follow" "lesson"]	["have" "lesson"]
["lesson" "follow"]	["lesson" "have"]
["do" "lesson"]	["take" "lesson"]
["lesson" "do"]	["lesson" "take"]
let	rent	hire
["in" "level"]	["at" "level"]
level	standard
["say" "lie"]	["tell" "lie"]
["lie" "say"]	["lie" "tell"]
["speak" "lie"]	["tell" "lie"]
["lie" "speak"]	["lie" "tell"]
life	living	way of life
type of life	lifestyle
["in my" "life"]	["of my" "life"]
["in our" "life"]	["of our" "life"]
["in your" "life"]	["of your" "life"]
["in its" "life"]	["of its" "life"]
["in her" "life"]	["of her" "life"]
["in his" "life"]	["of his" "life"]
["in their" "life"]	["of their" "life"]
life	live
lighted	lit
like	would like
would like that I	would like me to
would like that we	would like us to
would like that you	would like you to
would like that it	would like it to
would like that she	would like her to
would like that he	would like him to
would like that they	would like them to
["put" "limit"]	["place" "restriction"]
["limit" "put"]	["restriction" "place"]
["in" "list"]	["on" "list"]
listen	listen to
lit	lighted
litter	drop litter
little	small	brief	minor
["live" "in"]	["stay" "at"]
way of living	way of life
living style	life style
loan	borrow
long	a long time
look	see	look at
["take" "look on"]	["take" "look at"]
["look" "after"]	["look" "for"]
["look" "into"]	["look" "in"]
look like	look
lose	miss	waste
lost	missing
["a lot of" "weeks"]	["many" "weeks"]
["a lot of" "months"]	["many" "months"]
["a lot of" "years"]	["many" "years"]
["love" "very much"]	love
have luck	're lucky	are lucky	're in luck	are in luck	have a stroke of luck	have a bit of luck
pack my luggage	pack
pack our luggage	pack
pack your luggage	pack
pack its luggage	pack
pack her luggage	pack
pack his luggage	pack
pack their luggage	pack
["pack" "luggage"]	["pack" "bag"]	["pack" "suitcase"]
["luggage" "pack"]	["bag" "pack"]	["suitcase" "pack"]
luxurious	luxury
luxurious thing	luxury
luxury things	luxuries	luxury goods
luxury thing	luxury item
luxury life	life of luxury
machine	engine
["become" "mad"]	["go" "mad"]
["be mad" "for"]	["be mad" "about"]
["be crazy" "for"]	["be crazy" "about"]
["made" "from"]	["made" "of"]
["made" "by"]	["made" "from"]
mainly	above all
majority of	most
make	do
make	have
["make" "to"]	make
make up my face	wear make-up
["my face" "make up"]	["make-up" "wear"]
make up our faces	wear make-up
["our face" "make up"]	["make-up" "wear"]
