ability	capability	capacity
able	capable
above	over
account	bill
accuse	charge
actual	real
actually	really
adherence	adhesion
admission	admittance
admit	confess
advise	suggest
advocate	recommend
affect	effect
afflict	inflict
after	afterwards	later
after	behind
after all	at last	finally	in the end	lastly	last of all
agenda	diary
ago	before	for	since
alike	likely
alive	lively
all	both	every	each
alone	lonely	lone
alternate	alternative
alternately	alternatively
always	already	every
amend	emend
amiable	amicable
anger	fury	rage
anniversary	birthday
announce	proclaim	declare	pronounce
annoyance	irritation
another	other
apart	away
apologize	excuse myself
apologize	excuse ourselves
apologize	excuse yourself
apologize	excuse yourselves
apologize	excuse itself
apologize	excuse herself
apologize	excuse himself
apologize	excuse themselves
apparently	obviously
approve	approve of
argument	dispute
arrive	reach
arrogant	proud
ashamed	embarrassed
ask for	demand
assent	consent
assignment	assignation
assist	attend
assurance	insurance
assure	ensure	insure
avenge	revenge
avoid	evade
baby	infant	child
back	backwards
back	backward
back	rear
bag	baggage	luggage
bar	pub
base	basis
bath	bathe
become	become of
before	in front of
begin	start	commence
believe	believe in
beside	besides
between	among	amongst
big	large	great
blame	fault
bonnet	hood
border	boundary	frontier
borrow	lend
box	carton	crate
brand	make	type
bread	loaf
briefly	shortly
bring	take
brought	bought
bus	coach
by	from
café	cafeteria	wine bar
can	am able to
could	were able to
canal	channel
cancel	postpone	delay
capacity	capability
carefree	careless	careful
carpet	rug
carry	lift
carry	wear
cave	cavern	cellar	basement
certainly	surely
childish	childlike
chip	french fry	crisp
choose	elect
church	chapel
civic	civil	civilian
claim	demand
classic	classical
cloth	clothes	clothing
coast	beach	shore
coat	jacket
comic	comical
comment	mention	remark
comprehend	understand
comprehensive	understanding
conscience	consciousness
conscious	conscientious
contest	competition
continual	continuous	constant
control	manage
cost	price
country	countryside	province
country	nation	state
couple	pair
cry	shout	yell
cry	weep	sob
cure	heal	recover
cure	heal	recovery
cushion	pillow
custom	habit
damp	moist	humid
deceptive	deceitful
deny	refuse
describe	characterize
detract	distract	disturb
dinner	lunch	tea	supper
disinterested	uninterested
distinct	distinctive
distrust	mistrust
doubt	suspect
doubtful	dubious	suspicious
drop	fall
earn	win	gain
east	eastern	easterly
eatable	edible
economy	economics
economic	economical
edit	publish
educate	["bring" "up"]
elder	older	elderly
eldest	oldest	elderly
electric	electrical
emigrate	migrate
especially	specially
except	except for	besides
excuse	forgive
expect	wait for
expect	look forward to
["wait" "for"]	["look forward" "to"]
experience	experiment
fairly	quite	rather
fantasy	imagination
female	feminine
finally	eventual	possible
finally	eventually	possibly
find	discover	["find" "out"]
floor	ground
food	meal	dish
footpath	path	lane
forbid	prevent
forget	["leave" "behind"]
former	late	deceased
fragile	frail
game	match
game	sport
gas	petrol
gentle	polite
girl	daughter
greatly	largely
grocer	greengrocer
grow	grow up
handbag	purse
happy	lucky
happily	luckily
hat	cap
hear	listen to
height	depth
hire	rent	let
historic	historical
history	story
homework	housework
house	home
human	inhuman	humane	inhumane
illegal	unlawful	illegitimate	illicit
imaginary	imaginative
immoral	amoral
imply	infer
impractical	impracticable
include	consist of	comprise
inedible	uneatable
inflammable	non-flammable
flammable	non-flammable
institute	institution
jealousy	envy
jealous	envious
job	work
journey	voyage	trip	excursion
judicial	judicious
keep	guard
lamp	light
lawyer	solicitor	barrister	attorney
lay	lie
learn	teach	study
legal	lawful	legitimate
library	bookshop
lose	loose
love	like
machine	motor	engine
magazine	newspaper	paper	journal
magazine	shop	store
magic	magical
make	do
male	masculine
man	husband
many	a lot of	a lot
much	a lot of	a lot
memory	memoir
memory	souvenir
middle	centre
middle	center
mistake	fault
moral	morale
much	very
narrow	thin
nervous	irritated
no	neither
none	neither
none	no-one	nobody
north	northern	northerly
notable	noticeable
note	noticeable
notice	observe	pay attention
now	at present	presently
occasion	opportunity	chance	possibility
office	bureau
one	you	people
opposite	in front of
pants	shorts	trousers
parcel	package	packet
particular	peculiar
particularly	peculiarly
pass	take	sit
pavement	sidewalk
pay	buy
place	room
play	show
please	thank you	thanks
power	strength
practical	practicable
present	actual
prevent	avoid	warn
price	prize
priceless	worthless
principle	principal
proceed	precede
prove	test
quite	quiet
raise	rise	arise
relation	relative
relation	relationship
remark	noticeable
remember	remind
rest	remains
rest	stay	stop
restless	restive
retire	resign
reward	award	prize
road	street
row	quarrel	fight	argument
rule	regulation	law
sack	bag	pocket
safety	security
salary	wage
salute	greet	welcome
say	tell
scarce	rare
scarcely	rarely
scene	scenery
school	college	university
sea	ocean
search	search for	seek	look for
see	watch	look at	regard
sensible	sensitive
serial	series
serviette	towel
shadow	shade
ship	boat
spirit	blouse
shorts	underpants	pants
sick	nauseous	vomit	ill
snake	serpent
someone	somebody	anyone	anybody
something	anything
somewhere	anywhere
sound	noise
south	southern	southerly
speak	talk
speech	conversation
speech	talk	lecture
spend	pass
square	place
stand	bear	tolerate	support
steal	rob
step	stair	staircase
still	yet	already
store	shop
strange	foreign
stranger	foreigner
study	studio
subway	underpass
suit	suite
suspenders	braces
sympathetic	friendly
tall	high
taste	taste of
tax	duty	fine
teach	instruct	educate
teacher	lecturer	tutor	professor
testament	will
theatre	cinema
theater	cinema
thief	robber	burglar
tie	cravat
tights	stockings
toilet	lavatory	loo	WC	bathroom
town	city
tree	shrub	bush
under	underneath	below	beneath
underground	tube	subway	metro
unsocial	unsociable	anti-social
valuable	invaluable	valueless
van	lorry
van	truck
vest	waistcoat
want	wish
wedding	marriage
west	western	westerly
whole	all
woman	wife
wood	forest
woolly	woollen
worth	value